episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
12,12,boardroom,120,3640204.597525902,139944371.81387544,192.45066959847543,362.469829563038,1.8834428080675767,91,0.8370862531538332,17.5,0.2003453920308643,38,Time Limit,-1024.575471064067,-31.49621254524183,0.0
13,13,boardroom,120,645186.3601303124,25641251.914878357,103.15585159289634,257.93706603687355,2.500459858106934,91,1.3898805510810777,20.0,0.03318283814452979,89,Time Limit,-1474.6856902160564,-63.62564488554482,0.0
14,14,boardroom,120,1970054.5363218698,87854654.85701083,543.7851046105138,300.92657704301934,0.5533924605355971,90,1.047015486536039,15.5,0.4740254055565579,20,Time Limit,-1042.0064882019328,-39.75798665088543,0.0
15,15,boardroom,120,2476015.4362481423,86296459.24043624,47.77434947018405,248.559687933112,5.202785400316921,100,0.6834004654703412,20.5,0.09163577198261993,56,Time Limit,-1106.0259860639278,-40.16681564810503,0.0
16,16,boardroom,120,1849963.4138822944,73880526.85203162,80.71400352378951,193.73397520524563,2.400252332275214,99,0.9318566411668558,25.0,0.05152881367900799,72,Time Limit,-1239.2593880011987,-41.538980805103684,0.0
17,17,boardroom,120,2612099.338927872,106385267.14813368,256.14094628718243,852.2699932978325,3.32734771871373,82,0.9433129420857183,26.5,0.06289098285685227,66,Time Limit,-1273.9460204697152,-33.30761551484925,0.0
18,18,boardroom,120,4473952.381792442,149480861.4249251,289.72687164855944,686.1728629451602,2.3683438786357804,101,2.7611349364520064,12.5,0.4740254055565579,20,Time Limit,-811.4084998721012,-31.2094538172184,0.0
19,19,boardroom,120,1277466.9089319382,34158211.981244616,72.75927901154034,292.46828397724545,4.019669902595614,112,0.8132865533336602,27.0,0.03020062885838502,94,Time Limit,-1380.1340192863697,-58.30928029453203,0.0
20,20,boardroom,120,2472861.452083807,109819348.10141416,171.53025343756883,466.226818275458,2.718044245443552,87,1.2453568693062362,23.5,0.07265887506308549,62,Time Limit,-1266.668093507378,-32.795586779071705,0.0
21,21,boardroom,120,1463150.6723494607,59101605.52919491,96.894865852505,270.4904839166218,2.7915873719085074,94,1.2423822757097605,20.0,0.05493497360554902,70,Time Limit,-1298.3475449371765,-45.6493865715078,0.0
22,22,boardroom,120,1229233.103815821,49677860.85078751,57.368733331395696,186.47869055987348,3.250528288338918,104,0.4767762113814657,24.5,0.037933592129987044,83,Time Limit,-1332.1916717668414,-49.776799528588555,0.0
23,23,boardroom,120,3485485.8479437204,141213698.54909563,513.5568574276672,308.5176299861048,0.6007467829977492,97,0.8298633040936363,16.5,0.30614924385199693,29,Time Limit,-934.9265018441704,-31.089834811294477,0.0
24,24,boardroom,120,1778710.4395369706,68162874.36362733,45.09896821897263,150.6137009497386,3.3396263129225447,105,0.8577762752764508,25.5,0.08141872000359876,59,Time Limit,-1126.967732936926,-44.06178841711696,0.0
25,25,boardroom,120,2088388.2865696559,63290863.430136025,129.57163234129501,337.54658776457165,2.60509635994602,110,1.1977005725418466,32.0,0.040916859168959964,80,Time Limit,-1266.539832514886,-46.14168427066143,0.0
26,26,boardroom,120,828590.6953286919,17137082.067119535,63.37496514081505,259.61253777364414,4.096452553414459,89,0.9505789499765142,27.5,0.03020062885838502,94,Time Limit,-1471.4347268220326,-69.08078766406268,0.0
27,27,boardroom,120,1211433.480168781,29017801.58421318,130.6523650331227,427.53919248916117,3.2723417779752584,104,1.5943640386863236,27.0,0.034607022874825255,87,Time Limit,-1336.0241589294874,-60.2839971773753,0.0
28,28,boardroom,120,1342320.905725152,43425177.66577375,120.87343127277812,439.65611233660866,3.6373263148658834,99,1.171483096985049,20.5,0.06514840300721292,65,Time Limit,-1252.1467894905884,-52.425530170973225,0.0
