episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
11,11,random,120,549496.3426757766,3438589.7885258384,75.04580565367603,151.63397501912675,2.020552297338141,119,1.885365991645287,16.5,0.1727945536824127,53,Time Limit,-1254.1884672376984,-91.44249031634017,0.0
12,12,random,50,388979.22535347106,-7692.115663282166,77.16103993064714,1519.7436998040757,19.695738952845005,50,9.95000000000002,9.0,0.444011761814814,23,Bankruptcy,-444.39810307372875,-102.1416892512777,0.0
13,13,random,21,151723.80978456148,-48363.548833034525,104.55891495720101,1934.9700249684047,18.506026250946118,25,6.597125,7.0,1.0,0,Bankruptcy,-174.87438834582838,-139.82813243216293,0.0
14,14,random,31,191312.98205784647,-19906.42032192822,1031.7756341456109,1856.2130205058534,1.7990471562579007,25,6.312968750000001,9.0,1.0,1,Bankruptcy,-253.60119037319706,-128.2849805299792,0.0
15,15,random,25,193672.26753152098,-955.7204565403808,80.2874698949327,3567.3496027002816,44.43220850487198,28,8.347500000000014,8.0,1.0,0,Bankruptcy,-202.05162526181314,-125.98702295432585,0.0
16,16,random,40,311569.1408632321,-52440.512897273875,125.51651879011624,934.7564406655689,7.447278252105061,50,8.645000000000008,10.0,1.0,3,Bankruptcy,-327.16234968338523,-100.08795985332718,0.0
17,17,random,120,657143.1839135363,12776292.559122492,26.47896656136616,110.85316228526418,4.186461054979511,113,1.2398844588007767,14.5,0.3235223062803129,31,Time Limit,-1093.6112257797188,-77.56657152804101,0.0
18,18,random,120,678547.9655353461,1568506.7052600319,146.08953499069196,251.48874456258497,1.721469950456126,122,1.3487928836686074,19.0,0.22106428088999328,44,Time Limit,-1181.2815625109738,-90.95035170194268,0.0
19,19,random,47,313587.0672222088,-58986.86111230333,51.499921117797896,619.7066928582337,12.033158098257141,46,3.8241581610429636,5.0,1.0,0,Bankruptcy,-443.42021319291115,-104.10326490694723,0.0
20,20,random,58,366304.16673340584,-69482.56608204177,52.55423658053517,361.55142218586485,6.879586608242633,59,1.5735849178460155,16.0,0.18303664756960394,50,Bankruptcy,-734.3603516913354,-99.58996838893795,0.0
21,21,random,120,753390.0611230107,13960594.929244557,13.320523695447548,79.72799686831503,5.985350027609129,98,0.6314076538035198,24.5,0.11906554185836227,89,Time Limit,-1462.412743779348,-75.09126245705033,0.0
22,22,random,65,468293.6408686579,-13016.312156722532,25.67776901656479,315.1607606019465,12.273681580305343,67,1.5767718256639986,11.5,0.5267183350945291,19,Bankruptcy,-577.7784828057582,-100.41561777568575,0.0
23,23,random,88,626657.1057677636,-120121.82109760446,9.879517438405495,208.6138202308257,21.115790475743616,92,1.290925074796789,21.0,0.1220007029250406,74,Bankruptcy,-1127.082641686934,-93.83753706236348,0.0
24,24,random,84,409034.63112766267,-34131.39730660664,22.808001484547045,163.89938577449283,7.186047663384207,86,2.787370035871649,9.0,1.0,1,Bankruptcy,-758.9364076977346,-93.52524629827607,0.0
25,25,random,120,853744.9465801169,2817150.6416445416,49.76728562854485,123.41084254465086,2.4797583590507606,111,1.3673300503513655,24.5,0.11077516817929935,107,Time Limit,-1518.10166922786,-91.02105518796164,0.0
26,26,random,120,1058554.0427461574,15727425.770988984,12.104318395921442,271.4204260612497,22.423437419880248,128,0.6202726853645469,21.5,0.18589811360183311,50,Time Limit,-1163.4448895797589,-80.0956275112232,0.0
27,27,random,89,630393.3856667031,-65090.04185582767,42.255274256143785,256.07094307183587,6.060094214974926,97,1.2888690769158142,16.0,0.3022604821529093,33,Bankruptcy,-826.3014611370018,-96.94227484286971,0.0
28,28,random,36,284309.5609106473,-15076.03158046183,59.69255271490269,2122.0753134602387,35.550084842165695,37,6.4985,6.0,1.0,0,Bankruptcy,-271.4996023681137,-112.14865384566224,0.0
29,29,random,120,448899.1215217387,8468925.234720916,10.336435994448781,42.560941261067065,4.117564437483535,97,1.7061347216080747,24.0,0.2027969795239276,47,Time Limit,-1258.5299435887994,-85.034738625279,0.0
