episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40,oracle_refresh_requests,cadence_refreshes,event_refreshes,cache_hits,llm_calls,scenario_id,scenario_label,post_shock_avg_rule40
10,10,boardroom,120,1389039.2089905269,45236104.56178261,183.35030280012393,498.06758652874584,2.716480850711795,86,0.5252789947049405,25.5,0.3638388763416731,89,Time Limit,-1480.6083509713758,-53.765647419300635,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-53.35601716017391
11,11,boardroom,120,290147.6756917549,6361807.08400483,43.32563063951332,179.6125148672467,4.145641095491375,50,1.0718186604036979,40.5,0.3094518513158039,82,Time Limit,-1564.9518587982004,-85.43018542055829,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-63.90664635147706
12,12,boardroom,120,1058000.655092348,107979190.48361492,76.35656754472033,126.38075749804487,1.6551393228097437,75,0.8370862531538332,17.5,0.4070387849252248,38,Time Limit,-1283.3922754014152,-36.01051273046034,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-34.511431843263786
13,13,boardroom,120,1916718.3758063656,59036635.935523205,192.94725461071064,400.39510040587464,2.0751531355743293,89,1.2948641784715105,20.0,0.38485137997564417,94,Time Limit,-1491.7379245013954,-48.34221535915522,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-48.97941108155527
14,14,boardroom,120,355287.4956144524,16700966.33197489,150.256347144904,243.0169724458295,1.6173491307589765,78,0.9258628301408492,37.5,0.30940354813998144,84,Time Limit,-1588.1638045375137,-80.39681485007107,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-48.4507692405114
15,15,boardroom,120,1700275.8141126551,71393618.62028217,48.245452395906014,137.80070951084113,2.8562424574245373,78,0.6834004654703412,20.5,0.3869852781867884,56,Time Limit,-1266.6364213319068,-43.79509999638129,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-38.2710229267755
16,16,boardroom,120,5148187.6765358895,132553393.45986883,275.6436924871055,421.8330366850012,1.530356210508007,89,0.8825264085547955,25.0,0.4497370259606227,72,Time Limit,-1295.0022943225565,-35.68505580554783,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-37.06444871670926
17,17,boardroom,120,1003285.8982968106,53464192.8836407,183.51615503749136,495.160569803298,2.6981851799485415,75,1.2721613529373095,30.5,0.3372909663332502,83,Time Limit,-1521.7331739194076,-47.56295852339751,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-38.33917403062611
18,18,boardroom,120,2145299.2576821474,118259337.9002166,118.96959689952456,186.80635029135948,1.5702024312070777,90,2.7611349364520064,12.5,0.5646952032929418,20,Time Limit,-978.0680167915542,-34.679537193084315,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-34.15202507729243
19,19,boardroom,120,3371969.464573601,82610713.59710716,144.18188661680549,497.2642433633613,3.4488676423339393,109,0.7610403163387518,27.0,0.4202893148139522,96,Time Limit,-1356.8938794615153,-45.39460246360185,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-50.13660717314
20,20,boardroom,120,389011.26294914546,36110294.45581951,154.36605863375945,357.8665172504437,2.3182979498070777,72,0.8374351579886019,33.0,0.311927581134331,60,Time Limit,-1547.643002251973,-60.36308998608327,0.0,0,0,0,0,0,boardroom,Boardroom Baseline,-41.06236318931561
