episode,seed,policy,steps,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,cause,total_reward,avg_rule_40,pct_above_40
16,16,heuristic,120,1436602.3584819403,65488549.038517326,34.153749191047666,124.88264779161902,3.6564843025887503,108,0.9318566411668558,25.0,0.05152881367900799,72,Time Limit,-1197.5602469008502,-44.0979863957466,0.0
17,17,heuristic,120,1708080.3432126269,81718202.16381171,57.01611987683494,321.2115970421956,5.633697939040228,102,0.9433129420857183,26.5,0.06289098285685227,66,Time Limit,-1187.073079758871,-38.53025207193702,0.0
18,18,heuristic,120,2991553.402675386,122956530.57772489,45.051340340633324,330.0608793226538,7.3263276259277195,116,2.7611349364520064,12.5,0.4740254055565579,20,Time Limit,-759.7613495562032,-33.48024982591133,0.0
19,19,heuristic,120,1226752.4079796013,33455615.79378181,62.05444430986741,278.54122283547184,4.488658724338627,113,0.8132865533336602,27.0,0.03020062885838502,94,Time Limit,-1376.3523630640263,-58.586849589831935,0.0
20,20,heuristic,120,1610754.5450340374,80320557.70187464,37.81073998555052,193.72687284660128,5.123593796911527,105,1.2453568693062362,23.5,0.07265887506308549,62,Time Limit,-1188.4072661765579,-39.356210851718956,0.0
21,21,heuristic,120,997335.2983399852,50451054.44684833,32.2958311721445,150.6192227057303,4.663735759048709,106,1.2423822757097605,20.0,0.05493497360554902,70,Time Limit,-1241.6313479562875,-49.873821011463626,0.0
22,22,heuristic,120,1093712.4073562734,46029296.27248581,43.99350951614652,161.08730423053535,3.6616152246597427,107,0.4767762113814657,24.5,0.037933592129987044,83,Time Limit,-1321.0791435819608,-51.53291921811351,0.0
23,23,heuristic,120,2419516.293776451,124786995.18985064,103.19650853909208,148.4022550858198,1.43805499998678,112,0.8298633040936363,16.5,0.30614924385199693,29,Time Limit,-858.0549888625756,-32.7507443789729,0.0
24,24,heuristic,120,1467529.839290005,58872053.64307295,25.01397049255328,112.39026259311952,4.493099671104928,111,0.8577762752764508,25.5,0.08141872000359876,59,Time Limit,-1105.9589342028185,-46.84266171568208,0.0
25,25,heuristic,120,1780772.0682269079,57394576.00268024,68.76757495052821,277.7004131114683,4.038246416443325,114,1.1977005725418466,32.0,0.040916859168959964,80,Time Limit,-1247.8542628165596,-47.70987911930495,0.0
26,26,heuristic,120,752028.0191042824,16335699.101780921,41.104342952198515,235.4762247379992,5.7287431892985525,85,0.9505789499765142,27.5,0.03020062885838502,94,Time Limit,-1463.2341679592435,-69.8296519338192,0.0
27,27,heuristic,120,1118785.0677957288,26783565.03326498,101.06828067999476,369.32442931792355,3.654207104673018,107,1.5943640386863236,27.0,0.034607022874825255,87,Time Limit,-1323.275806183252,-61.64470292099284,0.0
28,28,heuristic,120,1086206.9285052363,40932715.8549963,66.69431455471037,297.5765625859229,4.461798049394694,107,1.171483096985049,20.5,0.06514840300721292,65,Time Limit,-1215.0076768745485,-53.76928727478201,0.0
