episode,steps,final_mrr,final_cash,final_cac,final_ltv,final_headcount,interest_rate,consumer_confidence,competitors,quality,cause,total_reward
20,35,289973.4902114919,-24598.56756249169,102.62364076375484,3573.8837218269273,41,3.0,13.43421575838217,7,0.1,Bankruptcy,-264.0296992090844
21,120,1492583.7196073711,32581405.458093937,318.4784730109101,3749.5469453918367,106,15.4555005389621,-67.00884759427302,23,0.1,Time Limit,-822.8740085219893
22,120,1175745.283009767,8627488.646481058,559.8666834306522,3510.9772894064536,113,12.16255696965941,-144.43985878890444,40,0.1,Time Limit,-865.8962978186785
23,43,331496.9492687838,-24081.134719127556,108.73900862092854,4352.04791614306,53,9.719126118776801,47.27534591199269,14,0.1,Bankruptcy,-322.07549030658606
24,120,1160009.9442983472,3517950.7878589146,54.89147803368874,2144.0673509167455,127,18.798603800790435,-74.0221618594674,22,0.1,Time Limit,-796.5264420286885
25,120,1671378.98810731,22531980.762542427,369.76226357290966,6510.362379815089,123,13.703820279448578,-188.11135808976198,24,0.1,Time Limit,-885.9487623023891
26,46,350583.2959899431,-2375.445775397413,288.31253620938554,4744.9549177949075,45,5.905101504660211,38.25813021826802,12,0.1,Bankruptcy,-347.95169768257057
27,47,398777.24968032143,-2703.5736952058505,605.0697081512893,5492.323168045088,50,5.174079880103062,2.320077101211531,17,0.1,Bankruptcy,-353.5793500316703
28,23,210729.44960003032,-64181.42387518403,80.86312255794147,5261.78820139257,33,4.016629240446333,46.210385260921235,11,0.1,Bankruptcy,-207.92252369697619
29,120,1475089.9357373302,22764846.472990077,116.5860247740118,5639.822996369134,116,12.447922520979928,-76.68675940605092,28,0.1,Time Limit,-817.630338156925
30,39,335788.9553821604,-2595.492382577795,415.888871571144,3831.0682641507556,44,7.295936792560073,-33.26056475030944,8,0.1,Bankruptcy,-290.91964430578145
31,120,1537447.1809292708,12185268.547755491,70.87490533202426,4106.456205702634,126,11.63262924039739,-69.74533858749498,20,0.1,Time Limit,-836.2552349623929
32,22,180355.78273052623,-16285.526786449074,31.78579344385001,5253.006401650274,33,4.280196937087897,84.32769665625759,13,0.1,Bankruptcy,-171.13727672312055
33,34,328770.79896276916,-63061.24148728838,744.7250819202869,3904.7381669863557,46,6.886698474728031,76.04310095722181,14,0.1,Bankruptcy,-266.5077126035165
34,120,1879519.080569901,18379408.191873346,211.74107461210212,5810.01605416436,131,16.149207497320504,-97.98217147283898,23,0.1,Time Limit,-854.2617013938617
35,120,1895821.3783787142,35621182.42098971,396.6255502179986,9395.21848376645,121,10.727752151330888,-37.1437531465019,30,0.1,Time Limit,-803.709988388845
36,28,199223.75107391414,-35948.07508073794,234.4197161748375,3815.010239316326,32,6.179713313388235,57.151155201927324,7,0.1,Bankruptcy,-227.5220971960954
37,35,288842.08516328,-17419.00632864464,167.7461178233761,3810.266581096946,42,6.6789705654444,63.683516478440126,18,0.1,Bankruptcy,-268.8665845833758
38,51,422997.4007077756,-2249.975902055856,179.4664134275783,3801.09154873674,59,7.466425363028341,36.8285103874196,15,0.1,Bankruptcy,-379.7799206342216
39,120,1099116.6039186642,2304922.1307826433,80.12493572052384,1858.8126204727573,117,18.082854814722317,-99.15641172574252,35,0.1,Time Limit,-877.4998846328648
