scenario_id,scenario_label,policy,episode,seed,shock_month,shock_label,pre_shock_rule_40,recovery_month,recovery_time_months,recovered
boardroom,Boardroom Baseline,boardroom,31,31,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-40.64865940057892,52.0,28.0,True
boardroom,Boardroom Baseline,boardroom,31,31,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-45.80472199053919,52.0,4.0,True
boardroom,Boardroom Baseline,boardroom,31,31,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-45.646935501867205,83.0,11.0,True
boardroom,Boardroom Baseline,boardroom,32,32,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-52.495887689084576,28.0,4.0,True
boardroom,Boardroom Baseline,boardroom,32,32,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-66.37176737188429,,,False
boardroom,Boardroom Baseline,boardroom,32,32,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-90.29956265119189,,,False
boardroom,Boardroom Baseline,boardroom,33,33,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-48.91030669299947,26.0,2.0,True
boardroom,Boardroom Baseline,boardroom,33,33,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-58.57277263019382,59.0,11.0,True
boardroom,Boardroom Baseline,boardroom,33,33,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-72.02629159349166,,,False
boardroom,Boardroom Baseline,boardroom,34,34,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-38.02076278680243,111.0,87.0,True
boardroom,Boardroom Baseline,boardroom,34,34,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-44.326071686414295,63.0,15.0,True
boardroom,Boardroom Baseline,boardroom,34,34,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-48.5715266496392,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,35,35,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-48.26610270630967,,,False
boardroom,Boardroom Baseline,boardroom,35,35,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-60.35728566579024,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,35,35,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-75.63456209554529,,,False
boardroom,Boardroom Baseline,boardroom,36,36,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-36.37085291164857,29.0,5.0,True
boardroom,Boardroom Baseline,boardroom,36,36,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-34.21646826986594,50.0,2.0,True
boardroom,Boardroom Baseline,boardroom,36,36,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-33.584800493618765,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,37,37,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-44.052880924254474,111.0,87.0,True
boardroom,Boardroom Baseline,boardroom,37,37,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-54.761623850776004,57.0,9.0,True
boardroom,Boardroom Baseline,boardroom,37,37,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-54.991818142266375,79.0,7.0,True
boardroom,Boardroom Baseline,boardroom,38,38,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-42.339530585618704,,,False
boardroom,Boardroom Baseline,boardroom,38,38,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-51.0635211682383,51.0,3.0,True
boardroom,Boardroom Baseline,boardroom,38,38,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-54.67493591508093,,,False
boardroom,Boardroom Baseline,boardroom,39,39,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-46.25818312660457,,,False
boardroom,Boardroom Baseline,boardroom,39,39,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-58.173821959343016,,,False
boardroom,Boardroom Baseline,boardroom,39,39,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-96.17620428975832,,,False
boardroom,Boardroom Baseline,boardroom,40,40,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-35.06554273021887,,,False
boardroom,Boardroom Baseline,boardroom,40,40,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-45.73591889940492,67.0,19.0,True
